timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.07194,0.10633,0.25351,0.3781,0.08861,-1,-0.30157,-3.9421,-0.8638
none,0.07204,0.10571,0.25026,0.37934,0.08898,-1,-0.30185,-3.94604,-0.8650
none,0.07215,0.10512,0.25123,0.38102,0.08937,-1,-0.30215,-3.94107,-0.8640
none,0.07271,0.10519,0.24634,0.38273,0.08912,-1,-0.30233,-3.945,-0.8664
none,0.07283,0.10463,0.24934,0.38446,0.08953,-1,-0.30264,-3.93588,-0.8644
none,0.07339,0.10473,0.24523,0.38295,0.08929,-1,-0.30275,-3.94533,-0.8665
none,0.07351,0.1042,0.24551,0.38474,0.08974,-1,-0.30298,-3.9408,-0.8657
none,0.07408,0.10431,0.24555,0.38614,0.0895,-1,-0.30311,-3.93611,-0.8656
none,0.07421,0.10382,0.23905,0.38473,0.08998,-1,-0.3032,-3.95082,-0.8680
none,0.07479,0.10395,0.23778,0.3866,0.08976,-1,-0.30345,-3.94716,-0.8686
none,0.07536,0.10408,0.24093,0.3885,0.08955,-1,-0.30369,-3.93689,-0.8674
none,0.07594,0.10422,0.23679,0.38678,0.08933,-1,-0.30379,-3.9465,-0.8695
none,0.07608,0.10378,0.23134,0.38874,0.08987,-1,-0.30402,-3.95576,-0.8723
none,0.07666,0.10393,0.22747,0.39072,0.08967,-1,-0.30441,-3.96047,-0.8753
none,0.07724,0.10409,0.22382,0.3891,0.08948,-1,-0.30493,-3.96902,-0.877
none,0.07783,0.10426,0.22038,0.39114,0.08929,-1,-0.3055,-3.97285,-0.8805
none,0.07842,0.10442,0.21711,0.39321,0.0891,-1,-0.30616,-3.97629,-0.8835
none,0.079,0.10459,0.21401,0.39169,0.08892,-1,-0.3069,-3.98364,-0.8857
none,0.07959,0.10477,0.21107,0.39382,0.08875,-1,-0.30765,-3.98636,-0.8886
none,0.08061,0.1055,0.20936,0.39277,0.08775,-1,-0.30845,-3.98913,-0.8911
none,0.0812,0.10567,0.20667,0.39136,0.08757,-1,-0.30927,-3.99555,-0.8932
none,0.0818,0.10585,0.20411,0.39358,0.0874,-1,-0.31008,-3.99739,-0.8960
none,0.0824,0.10603,0.20166,0.39224,0.08723,-1,-0.31091,-4.00323,-0.8980
none,0.08342,0.10675,0.20033,0.39453,0.08617,-1,-0.31172,-4.00134,-0.9011
none,0.08402,0.10694,0.19808,0.39645,0.086,-1,-0.31259,-4.00292,-0.9037
none,0.08505,0.10766,0.19688,0.39561,0.0849,-1,-0.31346,-4.0045,-0.9061
